25;Ain't;She;Sweet.mp3,250.17,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\25;Ain't;She;Sweet.mp3,4.25,2012-04-14T07:12:25.718750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Flame;On.mp3,243.36,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\25;Flame;On.mp3,9.71,2012-04-14T07:51:00.187500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Just;a;Closer;Walk;With;Thee.mp3,57.84,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\25;Just;a;Closer;Walk;With;Thee.mp3,1.76,2012-04-14T07:14:35.125000;;;;;;;;;;;;;;;;;;;;;;;;
25;Yella;Pocahontas.mp3,290.27,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\25;Yella;Pocahontas.mp3,7.08,2012-04-14T07:46:39.046875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;All;the;Time;in;the;World.mp3,277.32,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\26;All;the;Time;in;the;World.mp3,6.79,2012-04-14T07:46:29.625000;;;;;;;;;;;;;;;;;;;;;;;;
26;Just;a;Closer;Walk;With;Thee.mp3,198.86,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\26;Just;a;Closer;Walk;With;Thee.mp3,4.99,2012-04-14T07:42:45.984375;;;;;;;;;;;;;;;;;;;;;;;;
26;Melpomene;Block;Party.mp3,284.34,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\26;Melpomene;Block;Party.mp3,5.43,2012-04-14T07:33:36.375000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Stink;Bomb.mp3,245.47,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\26;Stink;Bomb.mp3,6.06,2012-04-14T07:42:39.890625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Come;Down;To;New;Orleans.mp3,95.52,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\27;Come;Down;To;New;Orleans.mp3,2.62,2012-04-14T07:51:37.734375;;;;;;;;;;;;;;;;;;;;;;;;;;
27;My;Darlin';New;Orleans.mp3,241.84,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\27;My;Darlin';New;Orleans.mp3,6.9,2012-04-14T07:44:02.156250;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Nolia;Clap.mp3,277.92,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\27;Nolia;Clap.mp3,6.8,2012-04-14T07:50:03.859375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Didn't;He;Ramble_I'll;Fly;Away.mp3,230.06,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\28;Didn't;He;Ramble_I'll;Fly;Away.mp3,5.7,2012-04-14T07:46:40.968750;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Fat;Tuesday.mp3,410.04,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\28;Fat;Tuesday.mp3,9.82,2012-04-14T07:51:45.750000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;This;City;(End;Credits).mp3,131.76,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\29;This;City;(End;Credits).mp3,3.45,2012-04-14T07:29:50.218750;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia's;earliest;road;traffic;accident;captured;on;film;(c1905).mp4,137.42,D:\iomega;drive;archive\psych;vid;desktop;folder\psyche;vid\Australia's;earliest;road;traffic;accident;captured;on;film;(c1905).mp4,6.61,2019-01-15T23:31:04.965667;;;;;;;;;;;;;;;;;;
Breakdown;drum;pattern.m4a,142.34,D:\iomega;drive;archive\psych;vid;desktop;folder\psyche;vid\Breakdown;drum;pattern.m4a,1.11,2017-11-18T15:50:37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cross;Roads;Crash-;Skills;Of;Defensive;Driving;Episode;5.mp4,376.53,D:\iomega;drive;archive\psych;vid;desktop;folder\psyche;vid\Cross;Roads;Crash-;Skills;Of;Defensive;Driving;Episode;5.mp4,23.32,2019-01-15T23:31:06.095668;;;;;;;;;;;;;;;;;;
done;inc;end;edit.mp4,320.51,D:\iomega;drive;archive\psych;vid;desktop;folder\psyche;vid\done;inc;end;edit.mp4,596.18,2019-01-15T23:31:06.215668;;;;;;;;;;;;;;;;;;;;;;;;;;;;
final;take;of;second;half;effects;and;edits;done.mp4,120.94,D:\iomega;drive;archive\psych;vid;desktop;folder\psyche;vid\final;take;of;second;half;effects;and;edits;done.mp4,185.05,2019-01-15T23:31:08.105671;;;;;;;;;;;;;;;;;;
finished;clip;lower;res;.mp4,320.54,D:\iomega;drive;archive\psych;vid;desktop;folder\psyche;vid\finished;clip;lower;res;.mp4,172.62,2019-01-15T23:31:09.125672;;;;;;;;;;;;;;;;;;;;;;;;;;
finished;edited;final;one;no;audio.mp4,320.54,D:\iomega;drive;archive\psych;vid;desktop;folder\psyche;vid\finished;edited;final;one;no;audio.mp4,166.43,2019-01-15T23:31:10.305674;;;;;;;;;;;;;;;;;;;;;;;;
finished;psyche;draft;one.mp4,320.52,D:\iomega;drive;archive\psych;vid;desktop;folder\psyche;vid\finished;psyche;draft;one.mp4,162.24,2019-01-15T23:31:10.325674;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Freeway;Driving.;Skills;Of;Defensive;Driving;ep;9..mp4,499.09,D:\iomega;drive;archive\psych;vid;desktop;folder\psyche;vid\Freeway;Driving.;Skills;Of;Defensive;Driving;ep;9..mp4,26.39,2019-01-15T23:31:10.275674;;;;;;;;;;;;;;;;;;;;
